"26509",,,,,,"3982","aa","","2023-01-30 02:11:29","2023-01-22","","1 fragment of amphora with a dipinto, painted with black ink. Only one letter (?) preserved","L 3.1; W 3.8; th. 0.55 ","","","clay; black ink","LRA1","2024-07-19 08:36:04","dipinto on amphora","BE23-156/012/001","","","fragmentary","","1","","","found during pot-wash","","Geerts, R.","","","","7,1"
"11182","BE","13","61","125","018","1241","L","","2013-01-28 21:58:40","2013-01-20","","","","","","bone","","2013-01-28 21:59:07","bones","","","","","","1 bag","","","","","","","","","143"
"11183","BE","13","61","125","018","1241","gg","","2013-01-28 21:59:07","2013-01-20","","","","","","clay","fabric 7.5YR8/3 pink; slip 2.5YR5/6 red","2015-02-17 05:13:10","lamp","BE13-61/125/002","","","","","1","","","","","","","","","1,3"
"11184","BE","13","61","125","018","1241","Dc","","2013-01-28 21:59:37","2013-01-20","","nails inside","","","","copper alloy","","2013-01-28 22:00:32","copper alloy","","","","","","1 bag","","","","","","","","","13"
"11185","BE","13","61","125","018","1241","Q","","2013-01-28 22:00:32","2013-01-20","","","","","","wood","","2013-01-28 22:01:09","charcoal","","","","","","1 bag","","","","","","","","","52"
"11186","BE","13","61","125","018","1241","P","","2013-01-28 22:01:09","2013-01-20","","","","","","wood","","2013-01-28 22:01:39","wood?","","","","","","1 bag","","","","","","","","","19"
"11187","BE","13","61","125","018","1241","Di","","2013-01-28 22:01:39","2013-01-20","","","","","","iron","","2013-01-28 22:02:10","iron","","","","","","1 bag","","","","","","","","","42"
"11188","BE","13","61","125","018","1241","L","","2013-01-28 22:02:10","2013-01-20","","","","","","bone","","2013-01-28 22:03:21","fishbones","","","","","","1 frag","","","","","","","","","<1"
"11189","BE","13","89","10","007","1242","O","","2013-01-29 17:17:36","2013-01-17","","","","","","organic ","","2014-02-11 17:45:23","lotus ","","","","","","1 bag","","","","","","","","","4"
"11190","BE","13","89","10","007","1242","G","","2013-01-29 17:18:20","2013-01-17","","","","","","clay","","2013-02-10 15:03:29","pottery","","","","","","1 bag","","","","","","","","","405"
"11191","BE","13","89","10","007","1242","L","","2013-01-29 17:18:47","2013-01-17","","","","","","bone","","2013-01-29 17:19:14","bones","","","","","","1 bag","","","","","","","","","6"
"11192","BE","13","89","10","007","1242","M","","2013-01-29 17:19:14","2013-01-17","","","","","","shell","","2014-02-11 18:20:24","shell","","","","","","1 bag","","","","","","","","","117"
"11193","BE","13","89","10","007","1242","Q","","2013-01-29 17:19:47","2013-01-17","","","","","","wood","","2013-02-02 20:04:34","charcoal","","","","",""," 1 bag","","","","","","","","","2"
"11194","BE","13","61","126","019","1243","G","","2013-01-29 17:22:48","2013-01-20","","","","","","clay","","2013-02-07 07:45:18","pottery","","","","","","1 bag","","","","","","","","","509"
"11195","BE","13","61","126","019","1243","L","","2013-01-29 17:23:21","2013-01-20","","Yellow","Th. 0.2 cm","","","eggshell","ostrich","2018-02-16 09:26:20","ostrich eggshell, bulk","","","","Fragment","","1","","","","","Gwiazda, M.","","","","0.78"
"11196","BE","13","61","126","019","1243","M","","2013-01-29 17:23:48","2013-01-20","","","","","","shell","","2024-06-16 12:19:15","cowry shell","","","","","","1 ","","","","","","","","","20"
"11197","BE","13","61","126","019","1243","M","","2013-01-29 17:27:23","2013-01-20","","419g broken","","","","shell","","2013-01-29 17:28:09","shell","","","","","","1 bag","","","","","","","","","710"
"11198","BE","13","61","126","019","1243","Dpb","","2013-01-29 17:28:10","2013-01-20","","","","","","lead","","2017-10-01 13:27:01","lead","","","","","","1 frag","","","","","","","","","11"
"11199","BE","13","61","126","019","1243","Dc-tt-P","","2013-01-29 17:39:05","2013-01-20","","object bronze + wood,bronze human body shaped- head of the scepter together with partly preserved wood inside ok. 20g ( part of the shaft)","","Witkowska, T.","BE13_drawing_001_bronze (before preservation)","copper alloy-wood","","2014-02-11 16:06:02","scepter head","BE13-61/126/001","","","","","1","","","","1533","","","","","1139"
"11200","BE","13","61","126","019","1243","Dc","","2013-01-29 17:40:50","2013-01-20","","","","","","copper alloy","","2013-01-29 17:43:16","copper alloy","","","","","","1 bag","","","","","","","","","1"
"11201","BE","13","61","126","019","1243","pp","","2013-01-29 17:43:40","2013-01-20","","wood + sceptre","długość 6,8, 2,2 szerokość, śerdnica 2,2 ","","","wood","","2013-02-06 15:06:20","worked wood","","","","","","1 frag","","","","","","","","","10"
"11202","BE","13","61","126","019","1243","Q","","2013-01-29 17:46:36","2013-01-20","","","","","","wood","","2013-01-29 17:47:33","charcoal","","","","","","1 bag","","","","","","","","","12"
"11203","BE","13","61","126","019","1243","L","","2013-01-29 17:47:33","2013-01-20","","","","","","sea creature","","2013-02-05 19:07:01","sea creature","","","","","","1 frag","","","","","","","","","5"
"11204","BE","13","61","126","019","1243","L","","2013-01-29 17:48:49","2013-01-20","","","","","","bone","","2013-01-29 17:49:45","bones","","","","","","1 bag","","","","","","","","","314"
"11205","BE","13","61","126","019","1243","L","","2013-01-29 17:49:45","2013-01-20","","","","","","bone","","2013-02-28 17:54:11","bone","","","","","","1 bag","","","category change","","Gwiazda, M.","","","","2"
"11206","BE","13","61","126","019","1243","S","","2013-01-29 19:18:09","2013-01-20","","","","","","clay","","2013-02-07 07:44:31","brick","","","","","","1 bag","","","","","","","","","48"
"11207","BE","13","61","126","019","1243","aa","","2013-01-29 19:19:28","2013-01-20","","","","","","clay","","2013-02-10 13:58:24","dipinto on LRA 1","BE13-61/126/003","","","","","1 frag","","","","","","","","","17"
"11208","BE","13","61","125","033","1244","S","","2013-01-29 19:22:10","2013-01-27","","","","","","clay","","2013-02-04 19:38:38","brick","","","","","","1 bag","","","","","","","","","473"
"11209","BE","13","61","125","026","1245","S","","2013-01-29 19:24:10","2013-01-23","","","","","","clay","","2013-01-29 19:25:09","brick","","","","","","1","","","","","","","","","7"
"11210","BE","13","61","125","026","1245","gg","","2013-01-29 19:25:09","2013-01-23","","","","","","clay","fabric gray inside, surface 2.5Y8/3 pale yellow; traces of reddish brown slip","2015-02-17 05:11:30","lamp","BE13-61/125/004","","","","","1","","","","","","","","","1,4"
"11211","BE","13","91","3","011","1204","G","","2013-01-29 19:26:59","2013-01-19","","","","","","clay","","2013-02-11 12:57:13","pottery","","","","","","trace","","","","","","","","","1"
"11212","BE","13","91","3","011","1204","mm","","2013-01-29 19:27:29","2013-01-19","","","","","","shell","","2013-02-11 12:23:23","worked shell?","","","","","","1 bag","","","category change","","","","","","6"
"11213","BE","13","91","3","011","1204","Di","","2013-01-29 19:28:10","2013-01-19","","","","","","iron","","2013-01-29 19:28:33","iron","","","","","","1 bag","","","","","","","","","117"
"11214","BE","13","91","3","011","1204","L","","2013-01-29 19:28:33","2013-01-19","","","","","","bone","","2013-01-29 19:29:01","bones","","","","","","1 bag","","","","","","","","","<1"
"11215","BE","13","91","3","011","1204","K","","2013-01-29 19:29:01","2013-01-19","","","","","","hair?","","2013-02-11 12:19:59","hair? goat?","","","","","","1 bag","","","","","","","","","2"
"11216","BE","13","91","3","011","1204","R","","2013-01-29 19:29:40","2013-01-19","","","","","","stone","","2013-01-29 19:30:43","geological sample","","","","","","1","","","","","","","","","16"
"11217","BE","13","91","3","011","1204","Q","","2013-01-29 19:30:43","2013-01-19","","","","","","wood","","2013-01-29 19:31:06","charcoal","","","","","","1 bag","","","","","","","","","7"
"11218","BE","13","91","3","011","1204","L","","2013-01-29 19:31:06","2013-01-19","","","","","","sea craeture","","2013-02-05 19:07:15","sea creature","","","","","","1 bag","","","","","","","","","<1"
"11219","BE","13","91","3","011","1204","M","","2013-01-29 19:31:40","2013-01-19","","","","","","shell","","2013-01-29 19:31:59","shells","","","","","","1 bag","","","","","","","","","622"
"11220","BE","13","91","3","011","1204","L","","2013-01-29 19:31:59","2013-01-19","","","","","","sea creature /shell?","","2013-02-11 12:22:57","sea creature ? shell?","","","","","","1 bag","","","","","","","","","52"
"11221","BE","13","91","4","014","1246","G","","2013-01-29 19:34:05","2013-01-19","","","","","","clay","","2013-02-11 12:58:55","pottery","","","","","","1 bag","","","","","","","","","32"
"11222","BE","13","91","4","014","1246","M","","2013-01-29 19:34:47","2013-01-19","","","","","","shell","","2013-01-29 19:35:08","shells","","","","","","1 bag","","","","","","","","","150"
"11223","BE","13","91","4","014","1246","L","","2013-01-29 19:35:08","2013-01-19","","","","","","sea creature shell?","","2013-02-05 19:07:24","sea creature? shell?","","","","","","3 frag","","","","","","","","","11"
"11224","BE","13","91","4","014","1246","L","","2013-01-29 19:35:52","2013-01-19","","","","","","bone","","2013-01-29 19:36:17","bones","","","","","","2 frag","","","","","","","","","<1"
"11225","BE","13","91","4","014","1246","Q","","2013-01-29 19:36:17","2013-01-19","","","","","","wood","","2013-01-29 19:36:46","charcoal","","","","","","trace","","","","","","","","","<1"
"11226","BE","13","91","3","012","1247","M","","2013-01-29 19:38:36","2013-01-19","","","","","","shell","","2013-01-29 19:39:09","shells","","","","","","1 bag","","","","","","","","","366"
"11227","BE","13","91","3","012","1247","E","","2013-01-29 19:39:09","2013-01-19","","1 blue, 1 blue and white, 2 greensaulk cleariry ","","","","glass","","2013-03-02 19:48:59","glass","","","","","","4","","","","","","","","","<1"
"11228","BE","13","91","3","012","1247","R","","2013-01-29 19:42:01","2013-01-19","","","","","","stone","","2013-01-29 19:43:03","geological samples","","","","","","7 ","","","","","","","","","13"
"11229","BE","13","91","3","012","1247","L","","2013-01-29 19:43:03","2013-01-19","","","","","","bone","","2013-01-29 19:43:30","bone","","","","","","1 bag","","","","","","","","","<1"
"11230","BE","13","91","3","012","1247","Q","","2013-01-29 19:43:30","2013-01-19","","","","","","wood","","2013-01-29 19:43:54","charcoal","","","","","","1 bag","","","","","","","","","8"
"11231","BE","13","91","3","012","1247","Di","","2013-01-29 19:43:54","2013-01-19","","","","","","iron","","2013-01-29 19:44:16","iron","","","","","","1 bag","","","","","","","","","5"
"11232","BE","13","91","3","012","1247","M","","2013-01-29 19:44:17","2013-01-19","","","","","","shell","","2024-06-16 12:21:48","nacre","","","","","","1 bag","","","","","","","","","<1"
"11233","BE","13","91","3","012","1247","G","","2013-01-29 19:45:01","2013-01-19","","","","","","clay","","2013-01-29 19:46:07","pottery","","","","","","trace","","","","","","","","","21"
"11234","BE","13","81","4","008","1248","G","","2013-01-29 19:48:21","2013-01-20","","","","","","clay","","2013-02-11 14:09","pottery","","","","","","1 bag","","","","","","","","","126"
"11235","BE","13","81","4","008","1248","Di","","2013-01-29 19:49:04","2013-01-20","","","","","","iron","","2013-01-29 19:49:26","iron","","","","","","1 bag","","","","","","","","","9"
"11236","BE","13","81","4","008","1248","M","","2013-01-29 19:49:26","2013-01-20","","12g broken","","","","shell","","2013-01-29 19:52:52","shells","","","","","","1 bag","","","","","","","","","21"
"11237","BE","13","81","4","008","1248","L","","2013-01-29 19:52:52","2013-01-20","","","","","","bone","","2013-01-29 19:54:15","bone","","","","","","1 bag","","","","","","","","","3"
"11238","BE","13","81","4","008","1248","L","","2013-01-29 19:54:15","2013-01-20","","","","","","bone","","2013-01-29 20:10:24","fishbone","","","","","","2 frag","","","","","","","","","<1"
"11239","BE","10","999","999","021","454","E","","2013-01-29 20:15:33","2010_02_05","4th c. AD","Late Roman cameo glass ","","","","glass","","2017-10-01 08:28:52","cameo glass ","BE10-999/075","","","","","1","","","","","Kucharczyk, R.","","N of Serapis Temple","","9"
"11240","BE","13","91","4","017","1249","G","","2013-01-29 20:32:36","2013-01-20","","","","","","clay","","2013-01-29 20:33:04","pottery","","","","","","1 bag","","","","","","","","","22"
"11241","BE","13","91","4","017","1249","M","","2013-01-29 20:33:04","2013-01-20","","95 g broken","","","","shell","","2013-01-29 20:33:52","shells","","","","","","1 bag","","","","","","","","","161"
"11242","BE","13","91","4","017","1249","L","","2013-01-29 20:33:57","2013-01-20","","","","","","sea creature","","2013-02-05 19:07:40","sea creature","","","","","","1","","","","","","","","","8"
"11243","BE","13","91","4","017","1249","Q","","2013-01-29 20:34:22","2013-01-20","","","","","","wood","","2013-01-29 20:34:43","charcoal","","","","","","1 bag","","","","","","","","","3"
"11244","BE","13","91","4","017","1249","L","","2013-01-29 20:34:43","2013-01-20","","","","","","bone","","2013-01-29 20:35:10","bone","","","","","","1 bag","","","","","","","","","<1"
"11245","BE","13","91","4","017","1249","R","","2013-01-29 20:35:10","2013-01-20","","","","","","stone","semiprecious","2018-01-16 21:09:35","beryl","","","","","","1","","","","","","","","","<1"
"11246","BE","13","91","3","016","1250","G","","2013-01-29 20:36:31","2013-01-20","","","","","","clay","","2013-02-11 12:59:32","pottery","","","","","","1 bag","","","","","","","","","72"
"11247","BE","13","91","999","013","1251","O","","2013-01-29 20:40:20","2013-01-19","","","","","","botanical","","2013-01-29 20:41:13","botanical samples","","","","","","1","","","","","","","","","<1"
"11248","BE","13","91","999","013","1251","Q","","2013-01-29 20:41:13","2013-01-19","","","","","","wood","","2013-01-29 20:43:53","charcoal","","","","","","1 bag","","","","","","","","","2"
"11249","BE","13","91","999","013","1251","M","","2013-01-29 20:43:53","2013-01-19","","","","","","shell","","2013-01-29 20:44:59","shells","","","","","","1 bag","","","","","","","","","17"
"11250","BE","13","81","1","010","1252","G","","2013-01-29 20:52:15","2013-01-21","","","","","","clay","","2013-02-11 14:09:37","pottery","","","","","","1 bag","","","","","","","","","275"
"11251","BE","13","81","1","010","1252","M","","2013-01-29 20:52:59","2013-01-21","","1293g broken","","","","shell","","2013-01-29 20:56:57","shells","","","","","","1/2 bag","","","","","","","","","2069"
"11252","BE","13","81","1","010","1252","M","","2013-01-29 20:56:57","2013-01-21","","726g broken","","","","shell","","2013-01-29 20:58:08","shells","","","","","","2/2 bag","","","","","","","","","1297"
"11253","BE","13","81","1","010","1252","L","","2013-01-29 20:58:08","2013-01-21","","","","","","sea creature","","2013-02-05 19:07:46","sea creature","","","","","","1 bag","","","","","","","","","53"
"11254","BE","13","81","1","010","1252","L","","2013-01-29 20:58:59","2013-01-21","","","","","","bone","","2013-01-29 20:59:20","bone","","","","","","1","","","","","","","","","2"
"11255","BE","13","81","1","010","1252","M","","2013-01-29 20:59:20","2013-01-21","","","","","","shell","","2024-06-16 12:19:17","cowry shell","","","","","","1 bag","","","","","","","","","35"
"11256","BE","13","81","1","010","1252","mm","","2013-01-29 20:59:53","2013-01-21","","","","","","shell","","2013-01-29 21:00:50","worked shell","","","","","","5 frag","","","","","","","","","2"
"11257","BE","13","81","1","011","1253","G","","2013-01-29 21:01:19","2013-01-22","","","","","","clay","","2013-02-11 14:09:50","pottery","","","","","","1 bag","","","","","","","","","49"
"11258","BE","13","81","1","011","1253","M","","2013-01-29 21:01:46","2013-01-22","","3253g broken","","","","shell","","2013-01-29 21:03:17","shells","","","","","","1 basked","","","","","","","","","4107"
"11259","BE","13","81","4","012","1254","G","","2013-01-29 21:03:57","2013-01-22","","","","","","clay","","2013-02-11 14:09:19","pottery","","","","","","1 bag","","","","","","","","","1501"
"11260","BE","13","81","4","012","1254","dd","","2013-01-29 21:04:53","2013-01-22","","","","","","iron","","2014-02-11 15:47:18","slag","","","","","","1 bag","","","","","","","","","140"
"11261","BE","13","81","4","012","1254","L","","2013-01-29 21:05:28","2013-01-22","","","","","","bone","","2013-01-29 21:05:50","bones","","","","","","1 bag","","","","","","","","","64"
"11262","BE","13","81","4","012","1254","L","","2013-01-29 21:05:50","2013-01-22","","Yellow (speckled)","Th. 0.2 cm","","","eggshell","ostrich","2018-02-16 09:27:21","ostrich eggshell, bulk","","","","Fragment","","1","","","","","Gwiazda, M.","","","","1.72"
"11263","BE","13","81","4","012","1254","E","","2013-01-29 21:07:33","2013-01-22","","","","","","glass","","2013-03-02 19:49","glass","","","","","","1","","","","","","","","","<1"
"11264","BE","13","81","4","012","1254","M","","2013-01-29 21:08:03","2013-01-22","","218 broken","","","","shell","","2013-01-29 21:09:38","shell","","","","","","1 bag","","","","","","","","","551"
"11265","BE","13","81","4","012","1254","M","","2013-01-29 21:09:38","2013-01-22","","","","","","shell","","2024-06-16 12:19:19","cowry shell","","","","","","6 frag","","","","","","","","","28"
"11266","BE","13","81","4","012","1254","B","","2013-01-29 21:10:09","2013-01-22","","green","","","","glass","","2013-01-29 21:10:45","beads","","","","","","1 ","","","","","","","","","<1"
"11267","BE","13","81","4","012","1254","Dc","","2013-01-29 21:10:45","2013-01-22","","","","","","copper alloy","","2013-01-29 21:11:46","copper alloy","","","","","","1 bag","","","","","","","","","<1"
"11268","BE","13","89","10","012","1255","G","","2013-01-29 21:12:43","2013-01-20","","","","","","clay","","2013-02-10 15:09:36","pottery","","","","","","1 bag","","","","","","","","","21"
"11269","BE","13","89","10","012","1255","M","","2013-01-29 21:13:29","2013-01-20","","209g broken","","","","shell","","2013-01-29 21:14:16","shell","","","","","","1 bag","","","","","","","","","272"
"11270","BE","13","89","10","012","1255","L","","2013-01-29 21:14:16","2013-01-20","","Red (orange)","Th. 0.1 cm","","","eggshell","ostrich","2018-02-16 09:28:29","ostrich eggshell, bulk","","","","Fragment","","1","","","","","Gwiazda, M. ","","","","0.10"
"11271","BE","13","89","10","012","1255","R","","2013-01-29 21:14:51","2013-01-20","","","","","","geological sample","","2013-01-29 21:16:01","geological sample","","","","","","1","","","","","","","","","<1"
"11272","BE","13","89","10","012","1255","O","","2013-01-29 21:16:01","2013-01-20","","","","","","organic","","2013-02-10 15:09:16","peppercorns ","","","","","","1 bag","","","","","","","","","<1"
"11273","BE","13","89","10","012","1255","Q","","2013-01-29 21:16:43","2013-01-20","","","","","","wood","","2013-01-29 21:17:17","charcoal","","","","","","1 bag","","","","","","","","","19"
"11274","BE","13","89","10","012","1255","Dc","","2013-01-29 21:17:17","2013-01-20","","","","","","copper alloy","","2013-01-29 21:18:08","copper alloy","","","","","","1 bag","","","","","","","","","11"
"11275","BE","13","89","10","012","1255","M","","2013-01-29 21:18:08","2013-01-20","","","","","","shell","","2024-06-16 12:19:20","cowry shell","","","","","","1","","","","","","","","","1"
"11276","BE","13","89","10","012","1255","L","","2013-01-29 21:18:56","2013-01-20","","","","","","bone","","2013-01-29 21:19:17","bones","","","","","","1 bag","","","","","","","","","2"
"11277","BE","13","89","10","012","1255","S","","2013-01-29 21:19:17","2013-01-20","","","","","","clay","","2014-02-11 17:12:25","brick","","","","","","1 bag","","","","","","","","","221"
"11278","BE","13","89","10","012","1255","E","","2013-01-29 21:20:01","2013-01-20","","2 blue, 1 green, 4 transparent ","","","","glass","","2013-03-02 19:49:02","glass","","","","","","7","","","","","","","","","2 "
"11279","BE","13","89","10","012","1255","Di","","2013-01-29 21:21:38","2013-01-20","","","","","","iron","","2013-01-29 21:22:33","iron","","","","","","1 bag","","","","","","","","","6"
"11280","BE","13","89","10","013","1256","S","","2013-01-29 21:22:44","2013-01-21","","","","","","clay","","2014-02-11 17:12:49","brick","","","","","","1 bag","","","baked","","","","","","814"
"11281","BE","13","89","10","013","1256","B","","2013-01-29 21:23:30","2013-01-21","","","","","","carnelian","","2013-01-29 21:24:25","bead","","","","","","1 ","","","","","","","","","<1"
"11282","BE","13","89","10","013","1256","G","","2013-01-29 21:24:25","2013-01-21","","","","","","clay","","2013-02-10 15:11:24","pottery","","","","","","1 bag","","","","","","","","","1325"
"11283","BE","13","89","10","013","1256","Q","","2013-01-29 21:25:17","2013-01-21","","","","","","wood","","2013-01-29 21:25:41","charcoal","","","","","","1 bag","","","","","","","","","5"
"11284","BE","13","89","10","013","1256","Dc","","2013-01-29 21:25:41","2013-01-21","","","","","","copper alloy","","2013-01-29 21:26:10","copper alloy","","","","","","1 bag","","","","","","","","","5"
"11285","BE","13","89","10","013","1256","L","","2013-01-29 21:26:10","2013-01-21","","","","","","bone","","2013-01-29 21:26:38","bones","","","","","","1 bag","","","","","","","","","14"
"11286","BE","13","89","10","013","1256","R","","2013-01-29 21:26:38","2013-01-21","","","","","","geological","","2013-02-07 08:30:07","selenite","","","","","","1 frag","","","","","","","","","2"
"11287","BE","13","89","10","013","1256","M","","2013-01-29 21:27:17","2013-01-21","","45g broken","","","","shell","","2014-02-11 18:20:25","shell","","","","","","1 bag","","","","","","","","","70"
"11288","BE","13","89","24","015","1257","G","","2013-01-29 21:29:08","2013-01-21","","","","","","clay","","2013-02-10 15:20:08","pottery","","","","","","1 bag","","","","","","","","","156"
"11289","BE","13","89","24","015","1257","Q","","2013-01-29 21:29:33","2013-01-21","","","","","","wood","","2013-01-29 21:30:06","charcoal","","","","","","1 bag","","","","","","","","","5"
"11290","BE","13","89","24","015","1257","Dc","","2013-01-29 21:30:06","2013-01-21","","","","","","copper alloy","","2014-02-11 15:52:47","copper alloy","","","","","","1 bag","","","","","","","","","<1"
"11291","BE","13","89","24","015","1257","M","","2013-01-29 21:30:44","2013-01-21","","22g broken","","","","shell","","2014-02-11 18:20:25","shell","","","","","","1 bag","","","","","","","","","42"
"11292","BE","13","89","24","015","1257","L","","2013-01-29 21:31:15","2013-01-21","","","","","","bone","","2013-01-29 21:32:05","bone","","","","","","1 bag","","","","","","","","","13"
"11293","BE","13","89","22","014","1258","R","","2013-01-29 21:32:32","2013-01-21","","","","","","geological","","2013-01-29 21:34:04","geological samples","","","","","","1 bag","","","","","","","","","1950"
"11294","BE","13","89","23","017","1259","L","","2013-01-29 21:34:35","2013-01-22","","Yellow","Th. 0.2 cm","","","eggshell","ostrich","2018-02-16 09:28:30","ostrich eggshell, bulk","","","","Fragment","","2 ","","","","","Gwiazda, M.","","","","0.87"
"11295","BE","13","89","23","017","1259","G","","2013-01-29 21:35:12","2013-01-22","","","","","","clay","","2013-02-10 15:14:56","pottery","","","","","","1 bag","","","","","","","","","323"
"11296","BE","13","89","23","017","1259","L","","2013-01-29 21:35:39","2013-01-22","","","","","","bone","","2013-01-29 21:36","bones","","","","",""," 1 bag","","","","","","","","","8"
"11297","BE","13","89","23","017","1259","M","","2013-01-29 21:36","2013-01-22","","54g broken","","","","shell","","2014-02-11 18:20:26","shell","","","","","","1 bag","","","","","","","","","105"
"11298","BE","13","89","23","017","1259","B","","2013-01-29 21:36:37","2013-01-22","","","","","","bone","","2014-02-11 19:19:33","bead?","","","","","","1","","","","","","","","","<1"
"11299","BE","13","","","","1260","","","2013-01-29 21:38:22","2013-01-22","","","","","","","","2013-02-10 15:38:47","","","","","","","","","","","","","","","",""
"11300","BE","13","","","","1260","","","2013-01-29 21:38:45","2013-01-22","","","","","","","","2013-02-10 15:32:58","","","","","","","","","","","","","","","",""
"11301","BE","13","","","","1260","","","2013-01-29 21:39:14","2013-01-22","","","","","","","","2013-02-10 15:32:24","","","","","","","","","","","","","","","",""
"11302","BE","13","","","","1260","","","2013-01-29 21:39:47","2013-01-22","","","","","","","","2013-02-10 15:32:41","","","","","","","","","","","","","","","",""
"11303","BE","13","","","","1260","","","2013-01-29 21:40:59","2013-01-22","","","","","","","","2013-02-10 15:33:09","","","","","","","","","","","","","","","",""
"11304","BE","13","","","","1260","","","2013-01-29 21:41:23","2013-01-22","","","","","","","","2013-02-10 15:32:50","","","","","","","","","","","","","","","",""
"11305","BE","13","87","11","010","1261","G","","2013-01-29 21:44:10","2013-01-20","","","","","","clay","","2013-02-11 14:12:37","pottery","","","","","","1 bag","","","","","","","","","158"
"11306","BE","13","87","11","010","1261","M","","2013-01-29 21:44:36","2013-01-20","","508g broken","","","","shell","","2013-01-29 22:15:06","shells","","","","","","1 bag","","","","","","","","","789"
"11307","BE","13","87","11","010","1261","L","","2013-01-30 17:34:40","2013-01-20","","","","","","sea creature","","2013-02-05 19:07:53","sea creature","","","","","","1 bag","","","","","","","","","14"
"11308","BE","13","87","11","010","1261","L","","2013-01-30 17:35:36","2013-01-20","","Yellow; surface worn","Th. 0.2 cm","","","eggshell","ostrich","2018-02-16 09:28:49","ostrich eggshell, bulk","","","","Fragment","","1","","","","","Gwiazda, M.","","","","1.79"
"11309","BE","13","87","11","010","1261","L","","2013-01-30 17:36:16","2013-01-20","","","","","","bone","","2013-01-30 17:37","bone","","","","","","1 bag","","","","","","","","","5"
"11310","BE","13","87","11","010","1261","M","","2013-01-30 17:37:13","2013-01-20","","","","","","shell","","2024-06-16 12:19:22","cowry shell","","","","","","1 bag","","","","","","","","","32"
"11311","BE","13","90","1","001","1156","M","","2013-01-30 17:39:53","2013-01-12","","1 broken","","","","shell","","2024-06-16 12:19:23","cowry shell","","","","","","1 ","","","","","","","","","7"
"11312","BE","13","87","18","011","1262","G","","2013-01-30 17:42:50","2013-01-20","","","","","","clay","","2013-02-11 14:16:09","pottery","","","","","","1 bag","","","","","","","","","117"
"11313","BE","13","87","18","011","1262","M","","2013-01-30 17:44:49","2013-01-20","","53g broken","","","","shell","","2013-01-30 17:46:25","shells","","","","","","1 bag","","","","","","","","","66"
"11314","BE","13","87","18","011","1262","M","","2013-01-30 17:46:25","2013-01-20","","","","","","shell","","2024-06-16 12:19:24","cowry shell","","","","","","1","","","","","","","","","2"
"11315","BE","13","87","18","011","1262","mm","","2013-01-30 17:46:49","2013-01-20","","","","","","shell","","2013-01-30 17:48:06","worked shell","","","","","","1","","","","","","","","","<1"
"11316","BE","13","87","18","011","1262","L","","2013-01-30 17:48:06","2013-01-20","","","","","","sea craeture","","2013-02-05 19:07:59","sea creature","","","","","","2 frag","","","","","","","","","<1"
"11317","BE","13","87","18","011","1262","O","","2013-01-30 17:53:40","2013-01-20","","","","","","organic","","2013-02-08 21:50:34","peppercorns","","","","","","trace","","","","","","","","","<1"
"11318","BE","13","87","18","011","1262","Di","","2013-01-30 17:54:11","2013-01-20","","","","","","iron","","2013-01-30 17:54:35","iron","","","","","","2 frag","","","","","","","","","1"
"11319","BE","13","87","18","011","1262","L","","2013-01-30 17:54:35","2013-01-20","","","","","","bone","","2013-01-30 17:54:57","bone","","","","","","1 bag","","","","","","","","","1"
"11320","BE","13","87","13","012","1263","L","","2013-01-30 18:41:27","2013-01-21","","Yellow","Th. 0.2 cm","","","eggshell","ostrich","2018-02-16 09:28:50","ostrich eggshell, bulk","","","","Fragment","","3","","","","","Gwiazda, M.","","","","4.64"
"11321","BE","13","87","13","012","1263","G","","2013-01-30 18:43:29","2013-01-21","","","","","","clay","","2013-02-11 14:13:09","pottery","","","","","","1 bag","","","","","","","","","1027"
"11322","BE","13","87","13","012","1263","M","","2013-01-30 18:44:01","2013-01-21","","590g broken","","","","shell","","2013-01-30 18:45:50","shells","","","","","","1 bag","","","","","","","","","957"
"11323","BE","13","87","13","012","1263","L","","2013-01-30 18:45:50","2013-01-21","","","","","","sea creature","","2013-02-05 19:08:05","sea creature","","","","","","1 bag","","","","","","","","","54"
"11324","BE","13","87","13","012","1263","R","","2013-01-30 18:46:26","2013-01-21","","","","","","stone","","2013-01-30 18:47:21","geological samples","","","","","","1","","","","","","","","","5"
"11325","BE","13","87","13","012","1263","L","","2013-01-30 18:47:21","2013-01-21","","","","","","bone","","2013-01-30 18:47:52","bone","","","","",""," 1 bag","","","","","","","","","108"
"11326","BE","13","87","13","012","1263","L","","2013-01-30 18:47:52","2013-01-21","","","","","","bone","","2013-01-30 18:48:17","fishbone","","","","","","3 frag","","","","","","","","","3"
"11327","BE","13","87","13","012","1263","R","","2013-01-30 18:48:17","2013-01-21","","","","","","geological","","2013-01-30 18:50:01","geological samples","","","","","","1 bag","","","","","","","","","<1"
"11328","BE","13","87","23","013","1264","G","","2013-01-30 18:51:30","2013-01-21","","","","","","clay","","2013-02-11 14:16:21","pottery","","","","","","1 bag","","","","","","","","","245"
"11329","BE","13","87","23","013","1264","L","","2013-01-30 18:52:01","2013-01-21","","","","","","bone","","2013-01-30 18:52:30","bone","","","","","","1 bag","","","","","","","","","1"
"11330","BE","13","87","23","013","1264","M","","2013-01-30 18:52:30","2013-01-21","","","","","","shell","","2013-01-30 18:53:23","shells","","","","","","1 bag","","","","","","","","","190"
